Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"2750 Nagykőrös, Ceglédi út 256. (omv)","Nagykőrös, Ceglédi út 256.",Nagykőrös,2750,omv,0,https://holtankoljak.net/omv_Nagykoros_Ceglediut256
"1039 Budapest III, Batthyány út 27. (shell)","Budapest III, Batthyány út 27.",Budapest III,1039,shell,0,https://holtankoljak.net/shell_budapest_iii_batthyanyut27
"1117 Budapest XI, Hunyadi J. út (lukoil)","Budapest XI, Hunyadi J. út",Budapest XI,1117,lukoil,0,https://holtankoljak.net/lukoil_budapest_xi_hunyadijut
"2030 Érd, Iparos út 42. (shell)","Érd, Iparos út 42.",Érd,2030,shell,0,https://holtankoljak.net/shell_erd_Iparosut42
"8360 Keszthely, Tapolcai u.106. (lukoil)","Keszthely, Tapolcai u.106.",Keszthely,8360,lukoil,0,https://holtankoljak.net/lukoil_Keszthely_Tapolcaiu106
"7700 Mohács, Szőlőhegy 7714. hrsz. (lukoil)","Mohács, Szőlőhegy 7714. hrsz.",Mohács,7700,lukoil,0,https://holtankoljak.net/lukoil_Mohacs_Szolohegy7714hrsz
"4150 Pűspökladány, Keleti sor 17. (mol)","Pűspökladány, Keleti sor 17.",Pűspökladány,4150,mol,0,https://holtankoljak.net/mol_Puspokladany_Keletisor17
"6600 Szentes, Alsórét 258. (OIL!)","Szentes, Alsórét 258.",Szentes,6600,OIL!,0,https://holtankoljak.net/OIL!_Szentes_Alsoret258
"1142 Budapest XIV, Kacsóh Pongrác út 131. (omv)","Budapest XIV, Kacsóh Pongrác út 131.",Budapest XIV,1142,omv,0,https://holtankoljak.net/omv_budapest_xiv_kacsohpongracut131
"5350 Tiszafüred, Igari út 0424/11 hrsz (OIL!)","Tiszafüred, Igari út 0424/11 hrsz",Tiszafüred,5350,OIL!,0,https://holtankoljak.net/OIL!_Tiszafured_Igariut042411hrsz
"8800 Nagykanizsa, 7. főút és 74. sz. főút körforgalom (Mobil Petrol)","Nagykanizsa, 7. főút és 74. sz. főút körforgalom",Nagykanizsa,8800,Mobil Petrol,0,https://holtankoljak.net/Mobil_Petrol_Nagykanizsa_7foutes74szfoutkorforgalom
"2365 Inárcs, Széchenyi utca 14. (MOL Partner+)","Inárcs, Széchenyi utca 14.",Inárcs,2365,MOL Partner+,0,https://holtankoljak.net/MOL_Partner+_Inarcs_Szechenyiutca14
"2230 Gyömrő, Mendei út  (mol)","Gyömrő, Mendei út",Gyömrő,2230,mol,0,https://holtankoljak.net/mol_Gyomro_Mendeiut
"7815 Harkány, Pécsi út  (mol)","Harkány, Pécsi út",Harkány,7815,mol,0,https://holtankoljak.net/mol_Harkany_Pecsiut
"6000 Kecskemét, Hrsz 0674/200 Repülős csomópont (Mobil Petrol)","Kecskemét, Hrsz 0674/200 Repülős csomópont",Kecskemét,6000,Mobil Petrol,0,https://holtankoljak.net/Mobil_Petrol_Kecskemet_Hrsz0674200Repuloscsomopont
"2045 Törökbálint, Raktárvárosi u. 3. (mol)","Törökbálint, Raktárvárosi u. 3.",Törökbálint,2045,mol,0,https://holtankoljak.net/mol_Torokbalint_Raktarvarosiu3
"6500 Baja, Jánoshalmi út 6. (oil)","Baja, Jánoshalmi út 6.",Baja,6500,oil,0,https://holtankoljak.net/oil_Baja_Janoshalmiut6
"9027 Győr, Reptéri út 2. (Conoil)","Győr, Reptéri út 2.",Győr,9027,Conoil,0,https://holtankoljak.net/Conoil_Gyor_Repteriut2
"7623 Pécs, Megyeri (lukoil)","Pécs, Megyeri",Pécs,7623,lukoil,0,https://holtankoljak.net/lukoil_Pecs_Megyeri
"5600 Békéscsaba, Szarvasi út 68. (magán kút)","Békéscsaba, Szarvasi út 68.",Békéscsaba,5600,magán kút,0,https://holtankoljak.net/magan_kut_Bekescsaba_Szarvasiut68
"8648 Balatonkeresztúr, M7 Balatonkeresztúr - dél (shell)","Balatonkeresztúr, M7 Balatonkeresztúr - dél",Balatonkeresztúr,8648,shell,1,https://holtankoljak.net/shell_balatonkeresztur_m7balatonkeresztur-del
"8900 Zalaegerszeg, Hock J. u. 100 (shell)","Zalaegerszeg, Hock J. u. 100",Zalaegerszeg,8900,shell,0,https://holtankoljak.net/shell_Zalaegerszeg_HockJu100
"6000 Kecskemét, Dunaföldvári út 2. (auchan)","Kecskemét, Dunaföldvári út 2.",Kecskemét,6000,auchan,0,https://holtankoljak.net/auchan_Kecskemet_Dunafoldvariut2
"3744 Múcsony, Botond utca 4. (Buffalo Petrol)","Múcsony, Botond utca 4.",Múcsony,3744,Buffalo Petrol,0,https://holtankoljak.net/Buffalo_Petrol_Mucsony_Botondutca4
"1147 Budapest XIV, Csömöri út 27/A (mol)","Budapest XIV, Csömöri út 27/A",Budapest XIV,1147,mol,0,https://holtankoljak.net/mol_Budapest_Csomoriut27A
"4200 Hajdúszoboszló, Hóvirág u. 2 (omv)","Hajdúszoboszló, Hóvirág u. 2",Hajdúszoboszló,4200,omv,0,https://holtankoljak.net/omv_Hajduszoboszlo_Hoviragu2
"7822 Nagyharsány, Beremendi út (tele-tank)","Nagyharsány, Beremendi út",Nagyharsány,7822,tele-tank,0,https://holtankoljak.net/tele-tank_Nagyharsany_Beremendiut
"7694 Hosszúhetény, Széchenyi u. 40. (avia)","Hosszúhetény, Széchenyi u. 40.",Hosszúhetény,7694,avia,0,https://holtankoljak.net/avia_Hosszuheteny_Szechenyiu40
"1239 Budapest XXIII, Nagykőrösi út 349. (omv)","Budapest XXIII, Nagykőrösi út 349.",Budapest XXIII,1239,omv,0,https://holtankoljak.net/omv_budapest_xxiii_nagykorosiut349
"1097 Budapest IX, Gyáli út 38236/441 (mol)","Budapest IX, Gyáli út 38236/441",Budapest IX,1097,mol,0,https://holtankoljak.net/mol_Budapest_Gyaliut38236441
"6320 Solt, Vecsei u. 52.  (mol)","Solt, Vecsei u. 52.",Solt,6320,mol,0,https://holtankoljak.net/mol_Solt_Vecseiu52
"1118 Budapest XI, Budaörsi út 1. (BAH-csomópont) (omv)","Budapest XI, Budaörsi út 1.",Budapest XI,1118,omv,0,https://holtankoljak.net/omv_budapest_xi_budaorsiut112
"8638 Balatonlelle, M7 II. (bejövő) (mol)","Balatonlelle, M7 II.",Balatonlelle,8638,mol,1,https://holtankoljak.net/mol_balatonlelle_m7iibejovo
"2949 Csém, 13-as főút (lukoil)","Csém, 13-as főút",Csém,2949,lukoil,0,https://holtankoljak.net/lukoil_csem_13-asfout
"3531 Miskolc, Kiss Ernő utca 35. (Hunpetrol)","Miskolc, Kiss Ernő utca 35.",Miskolc,3531,Hunpetrol,0,https://holtankoljak.net/Hunpetrol_Miskolc_KissErnoutca35
"3580 Tiszaújváros, Örösi út 1/A. (shell)","Tiszaújváros, Örösi út 1/A.",Tiszaújváros,3580,shell,0,https://holtankoljak.net/shell_Tiszaujvaros_orosiut1A
"9200 Mosonmagyaróvár, Gabonarakpart 10. (shell)","Mosonmagyaróvár, Gabonarakpart 10.",Mosonmagyaróvár,9200,shell,0,https://holtankoljak.net/shell_Mosonmagyarovar_Gabonarakpart10
"8000 Székesfehérvár, Donáth út (omv)","Székesfehérvár, Donáth út",Székesfehérvár,8000,omv,0,https://holtankoljak.net/omv_Szekesfehervar_Donathut
"1214 Budapest XXI, Rákóczi Ferenc út 277. Szigetszentmiklós (auchan)","Budapest XXI, Rákóczi Ferenc út 277. Szigetszentmiklós",Budapest XXI,1214,auchan,0,https://holtankoljak.net/auchan_budapest_xxi_rakocziferencut277szigetszentmiklos
"2220 Vecsés, Lőrinci utca 130 (EcoPont)","Vecsés, Lőrinci utca 130",Vecsés,2220,EcoPont,0,https://holtankoljak.net/EcoPont_Vecses_Lorinciutca130
"1116 Budapest XI, Fehérvári út 166. (omv)","Budapest XI, Fehérvári út 166.",Budapest XI,1116,omv,0,https://holtankoljak.net/omv_budapest_xi_fehervariut166
"3973 Cigánd, Vasút utca 52/a (Magán kút)","Cigánd, Vasút utca 52/a",Cigánd,3973,Magán kút,0,https://holtankoljak.net/Magan_kut_Cigand_Vasututca52a
"8330 Sűmeg, Alkotmány u.  (mol)","Sűmeg, Alkotmány u.",Sűmeg,8330,mol,0,https://holtankoljak.net/mol_Sumeg_Alkotmanyu
"4100 Berettyóújfalu, 42.sz. fkl. út Földesi út 49. (mol)","Berettyóújfalu, 42.sz. fkl. út Földesi út 49.",Berettyóújfalu,4100,mol,0,https://holtankoljak.net/mol_Berettyoujfalu_42szfklutFoldesiut49
"9201 Mosonmagyaróvár, M1 - M15. autópálya II. (Pf.:109)  (mol)","Mosonmagyaróvár, M1 - M15. autópálya II.",Mosonmagyaróvár,9201,mol,1,https://holtankoljak.net/mol_mosonmagyarovar_m1-m15autopalyaiipf109
"5420 Túrkeve, Kisújszállási u. 54. (mol)","Túrkeve, Kisújszállási u. 54.",Túrkeve,5420,mol,0,https://holtankoljak.net/mol_Turkeve_Kisujszallasiu54
"4400 Nyíregyháza, Mező u. 28-40. (shell)","Nyíregyháza, Mező u. 28-40.",Nyíregyháza,4400,shell,0,https://holtankoljak.net/shell_nyiregyhaza_mezou28-40
"9600 Sárvár, Vágóhíd u. 1.  (mol)","Sárvár, Vágóhíd u. 1.",Sárvár,9600,mol,0,https://holtankoljak.net/mol_Sarvar_Vagohidu1
"3700 Kazincbarcika, Attila u. 10/b. (shell)","Kazincbarcika, Attila u. 10/b.",Kazincbarcika,3700,shell,0,https://holtankoljak.net/shell_Kazincbarcika_Attilau10b
"4138 Komádi, Szent István út 24. (MOL)","Komádi, Szent István út 24.",Komádi,4138,MOL,0,https://holtankoljak.net/MOL_Komadi_SzentIstvanut24
"2131 Göd, Nemeskéri - Kiss Miklós út 108 (Eco Smart Group)","Göd, Nemeskéri - Kiss Miklós út 108",Göd,2131,Eco Smart Group,0,https://holtankoljak.net/eco_smart_group_god_nemeskeri-kissmiklosut108
"6000 Kecskemét, 44-es főút Kurucz tér (lukoil)","Kecskemét, 44-es főút Kurucz tér",Kecskemét,6000,lukoil,0,https://holtankoljak.net/lukoil_kecskemet_44-esfoutkuruczter
"2740 Abony, Radák u.  (mol)","Abony, Radák u.",Abony,2740,mol,0,https://holtankoljak.net/mol_Abony_Radaku
"6701 Szeged, Dorozsmai út 16. (mol)","Szeged, Dorozsmai út 16.",Szeged,6701,mol,0,https://holtankoljak.net/mol_Szeged_Dorozsmaiut16
"1173 Budapest XVII, Pesti út. 5. (XVII.) (mol)","Budapest XVII, Pesti út. 5.",Budapest XVII,1173,mol,0,https://holtankoljak.net/mol_budapest_pestiut5xvii
"8360 Keszthely, Csapás u. 2505/3 (omv)","Keszthely, Csapás u. 2505/3",Keszthely,8360,omv,0,https://holtankoljak.net/omv_Keszthely_Csapasu25053
"7720 Pécsvárad, 6.sz.fkl.út  (mol)","Pécsvárad, 6.sz.fkl.út",Pécsvárad,7720,mol,0,https://holtankoljak.net/mol_Pecsvarad_6szfklut
"4600 Kisvárda, Attila út (mol)","Kisvárda, Attila út",Kisvárda,4600,mol,0,https://holtankoljak.net/mol_Kisvarda_Attilaut
"8638 Balatonlelle, 7.sz. főút 138. km (omv)","Balatonlelle, 7.sz. főút 138. km",Balatonlelle,8638,omv,0,https://holtankoljak.net/omv_Balatonlelle_7szfout138km
"6725 Szeged, Vásárhelyi Pál u. 25444 hrsz. (mol)","Szeged, Vásárhelyi Pál u. 25444 hrsz.",Szeged,6725,mol,0,https://holtankoljak.net/mol_Szeged_VasarhelyiPalu25444hrsz
"8200 Veszprém, Budapesti út 12. (omv)","Veszprém, Budapesti út 12.",Veszprém,8200,omv,0,https://holtankoljak.net/omv_Veszprem_Budapestiut12
"1149 Budapest XIV, Mogyoródi út 22-32. (lukoil)","Budapest XIV, Mogyoródi út 22-32.",Budapest XIV,1149,lukoil,0,https://holtankoljak.net/lukoil_budapest_xiv_mogyorodiut22-32#tartalom
"6800 Hódmezővásárhely, Hódtó u. 17-19. (shell)","Hódmezővásárhely, Hódtó u. 17-19.",Hódmezővásárhely,6800,shell,0,https://holtankoljak.net/shell_hodmezovasarhely_hodtou17-19
"9700 Szombathely, Kőszegi út (shell)","Szombathely, Kőszegi út",Szombathely,9700,shell,0,https://holtankoljak.net/shell_Szombathely_Koszegiut
"3500 Miskolc, Futó utca 91. (Mobil Petrol)","Miskolc, Futó utca 91.",Miskolc,3500,Mobil Petrol,0,https://holtankoljak.net/Mobil_Petrol_Miskolc_Futoutca91
"3527 Miskolc, Vologda út (shell)","Miskolc, Vologda út",Miskolc,3527,shell,0,https://holtankoljak.net/shell_Miskolc_Vologdaut
"8500 Pápa, Csóka fogadó (mol)","Pápa, Csóka fogadó",Pápa,8500,mol,0,https://holtankoljak.net/mol_Papa_Csokafogado
"3980 Sátoraljaújhely, Béke tanya 077/17 hrsz. (Buffalo Petrol)","Sátoraljaújhely, Béke tanya 077/17 hrsz.",Sátoraljaújhely,3980,Buffalo Petrol,0,https://holtankoljak.net/Buffalo_Petrol_Satoraljaujhely_Beketanya07717hrsz
"2310 Szigetszentmiklós, M0 19.km (omv)","Szigetszentmiklós, M0 19.km",Szigetszentmiklós,2310,omv,1,https://holtankoljak.net/omv_Szigetszentmiklos_M019km
"2360 Gyál, M5 Gyál-Alsónémedi lehajtó (mobil-petrol)","Gyál, M5 Gyál-Alsónémedi lehajtó",Gyál,2360,mobil-petrol,1,https://holtankoljak.net/mobil-petrol_gyal_m5gyal-alsonemedilehajto
"3551 Ónod, Rákóczi út 2. (Hunpetrol)","Ónod, Rákóczi út 2.",Ónod,3551,Hunpetrol,0,https://holtankoljak.net/hunpetrol_onod_rakocziut2
"8900 Zalaegerszeg, Kaszaházi út 96. (lukoil)","Zalaegerszeg, Kaszaházi út 96.",Zalaegerszeg,8900,lukoil,0,https://holtankoljak.net/lukoil_Zalaegerszeg_Kaszahaziut96
"5300 Karcag, Madarasi út 48. (lukoil)","Karcag, Madarasi út 48.",Karcag,5300,lukoil,0,https://holtankoljak.net/lukoil_Karcag_Madarasiut48
"9200 Mosonmagyaróvár, Kossuth Lajos u. 69. (omv)","Mosonmagyaróvár, Kossuth Lajos u. 69.",Mosonmagyaróvár,9200,omv,0,https://holtankoljak.net/omv_Mosonmagyarovar_KossuthLajosu69
"7615 Pécs, 6.sz.fkl. út (Cserkút)  (mol)","Pécs, 6.sz.fkl. út",Pécs,7615,mol,0,https://holtankoljak.net/mol_pecs_6szfklutcserkut
"5400 Mezőtúr, Balassi Bálint u. (mol)","Mezőtúr, Balassi Bálint u.",Mezőtúr,5400,mol,0,https://holtankoljak.net/mol_Mezotur_BalassiBalintu
"2011 Budakalász, Omszk park 1. (auchan)","Budakalász, Omszk park 1.",Budakalász,2011,auchan,0,https://holtankoljak.net/auchan_Budakalasz_Omszkpark1
"9431 Fertőd, Gábor Áron utca 11. (magan)","Fertőd, Gábor Áron utca 11.",Fertőd,9431,magan,0,https://holtankoljak.net/tank_ol_kft__fertod_gaboraronutca11
"1043 Budapest IV, Pozsonyi út 1. (shell)","Budapest IV, Pozsonyi út 1.",Budapest IV,1043,shell,0,https://holtankoljak.net/shell_budapest_iv_pozsonyiut1
"6760 Kistelek, 5. sz. fkl.út jobb oldal  (mol)","Kistelek, 5. sz. fkl.út jobb oldal",Kistelek,6760,mol,0,https://holtankoljak.net/mol_Kistelek_5szfklutjobboldal
"8230 Balatonfűred, Lapostelki u 3. (magán)","Balatonfűred, Lapostelki u 3.",Balatonfűred,8230,magán,0,https://holtankoljak.net/magan_Balatonfured_Lapostelkiu3
"4600 Kisvárda, Csillag u. 46. (shell)","Kisvárda, Csillag u. 46.",Kisvárda,4600,shell,0,https://holtankoljak.net/shell_Kisvarda_Csillagu46
"8647 Balatonmáriafűrdő, 7-es főút 164.km 054/1 hrsz Balatonkeresztúr (lukoil)","Balatonmáriafűrdő, 7-es főút 164.km 054/1 hrsz Balatonkeresztúr",Balatonmáriafűrdő,8647,lukoil,0,https://holtankoljak.net/lukoil_balatonmariafurdo_7-esfout164km0541hrszbalatonkeresztur
"7600 Pécs, Makay (lukoil)","Pécs, Makay",Pécs,7600,lukoil,0,https://holtankoljak.net/lukoil_Pecs_Makay
"9200 Mosonmagyaróvár, Királyhidai út 42. (oil)","Mosonmagyaróvár, Királyhidai út 42.",Mosonmagyaróvár,9200,oil,0,https://holtankoljak.net/oil_Mosonmagyarovar_Kiralyhidaiut42
"8300 Tapolca, Veszprémi út 5. (shell)","Tapolca, Veszprémi út 5.",Tapolca,8300,shell,0,https://holtankoljak.net/shell_Tapolca_Veszpremiut5
"1172 Budapest XVII, Cinkotai út 51. (omv)","Budapest XVII, Cinkotai út 51.",Budapest XVII,1172,omv,0,https://holtankoljak.net/omv_budapest_xvii_cinkotaiut51
"2072 Zsámbék, Herceghalmi út (omv)","Zsámbék, Herceghalmi út",Zsámbék,2072,omv,0,https://holtankoljak.net/omv_Zsambek_Herceghalmiut
"9201 Mosonmagyaróvár, M1 - M15. autópálya I. (Pf.:109/1) (mol)","Mosonmagyaróvár, M1 - M15. autópálya I.",Mosonmagyaróvár,9201,mol,1,https://holtankoljak.net/mol_mosonmagyarovar_m1-m15autopalyaipf1091
"6090 Kunszentmiklós, Szabadság u. 30.  (mol)","Kunszentmiklós, Szabadság u. 30.",Kunszentmiklós,6090,mol,0,https://holtankoljak.net/mol_Kunszentmiklos_Szabadsagu30
"9700 Szombathely, Csabai út 15. (omv)","Szombathely, Csabai út 15.",Szombathely,9700,omv,0,https://holtankoljak.net/omv_Szombathely_Csabaiut15
"2013 Pomáz, Árpád fejedelem u. (mol)","Pomáz, Árpád fejedelem u.",Pomáz,2013,mol,0,https://holtankoljak.net/mol_Pomaz_arpadfejedelemu
"8800 Nagykanizsa, Balatoni út  (mol)","Nagykanizsa, Balatoni út",Nagykanizsa,8800,mol,0,https://holtankoljak.net/mol_Nagykanizsa_Balatoniut
"2760 Nagykáta, Ady Endre u.  (mol)","Nagykáta, Ady Endre u.",Nagykáta,2760,mol,0,https://holtankoljak.net/mol_Nagykata_AdyEndreu
"8200 Veszprém, Budapesti u. 91. (MOL)","Veszprém, Budapesti u. 91.",Veszprém,8200,MOL,0,https://holtankoljak.net/MOL_Veszprem_Budapestiu91
"5000 Szolnok, Pozsonyi út 80. (mol)","Szolnok, Pozsonyi út 80.",Szolnok,5000,mol,0,https://holtankoljak.net/mol_Szolnok_Pozsonyiut80
"9330 Kapuvár, Győri út  (mol)","Kapuvár, Győri út",Kapuvár,9330,mol,0,https://holtankoljak.net/mol_Kapuvar_Gyoriut
"8100 Várpalota, Fehérvári út 17. (shell)","Várpalota, Fehérvári út 17.",Várpalota,8100,shell,0,https://holtankoljak.net/shell_Varpalota_Fehervariut17
"1138 Budapest XIII, Pap Károly u. (XIII.) (mol)","Budapest XIII, Pap Károly u.",Budapest XIII,1138,mol,0,https://holtankoljak.net/mol_budapest_papkarolyuxiii#tartalom
"6100 Kiskunfélegyháza, Szegedi út (shell)","Kiskunfélegyháza, Szegedi út",Kiskunfélegyháza,6100,shell,0,https://holtankoljak.net/shell_Kiskunfelegyhaza_Szegediut
"3900 Szerencs, 37.sz. fkl. út (mol)","Szerencs, 37.sz. fkl. út",Szerencs,3900,mol,0,https://holtankoljak.net/mol_Szerencs_37szfklut
"6724 Szeged, Csongrádi sugárút 87. (mol)","Szeged, Csongrádi sugárút 87.",Szeged,6724,mol,0,https://holtankoljak.net/mol_Szeged_Csongradisugarut87
"8621 Zamárdi, Endrédi út  (mol)","Zamárdi, Endrédi út",Zamárdi,8621,mol,0,https://holtankoljak.net/mol_Zamardi_Endrediut
"7191 Hőgyész, Szérűskert sor (mol)","Hőgyész, Szérűskert sor",Hőgyész,7191,mol,0,https://holtankoljak.net/mol_Hogyesz_Szeruskertsor
"9485 Nagycenk, 84.sz.fkl. út  (mol)","Nagycenk, 84.sz.fkl. út",Nagycenk,9485,mol,0,https://holtankoljak.net/mol_Nagycenk_84szfklut
"5540 Szarvas, Békéscsabai út (mol)","Szarvas, Békéscsabai út",Szarvas,5540,mol,0,https://holtankoljak.net/mol_Szarvas_Bekescsabaiut
"2234 Maglód, Jászberényi út (omv)","Maglód, Jászberényi út",Maglód,2234,omv,0,https://holtankoljak.net/omv_Maglod_Jaszberenyiut
"3600 Ózd, Vas köz 1-2. (shell)","Ózd, Vas köz 1-2.",Ózd,3600,shell,0,https://holtankoljak.net/shell_ozd_vaskoz1-2
"3281 Karácsond, M3, Karácsond Észak (omv)","Karácsond, M3, Karácsond Észak",Karácsond,3281,omv,1,https://holtankoljak.net/omv_karacsond_m3karacsondeszak#tartalom
"1117 Budapest XI, Hunyadi János u. 19. Savoya Park (auchan)","Budapest XI, Hunyadi János u. 19. Savoya Park",Budapest XI,1117,auchan,0,https://holtankoljak.net/auchan_budapest_xi_hunyadijanosu19savoyapark
"9100 Tét, Győri u 1845/5 hrsz. (oil)","Tét, Győri u 1845/5 hrsz.",Tét,9100,oil,0,https://holtankoljak.net/oil_Tet_Gyoriu18455hrsz
"1214 Budapest XXI, II. Rákóczi Ferenc út 189. (omv)","Budapest XXI, II. Rákóczi Ferenc út 189.",Budapest XXI,1214,omv,0,https://holtankoljak.net/omv_budapest_xxi_iirakocziferencut189
"1097 Budapest IX, Gyáli út 30. (omv)","Budapest IX, Gyáli út 30.",Budapest IX,1097,omv,0,https://holtankoljak.net/omv_budapest_ix_gyaliut30
"1151 Budapest XV, M3 12. km Dél - Szilas Pihenő (shell)","Budapest XV, M3 12. km Dél - Szilas Pihenő",Budapest XV,1151,shell,1,https://holtankoljak.net/shell_budapest_xv_m312kmdel-szilaspiheno
"4400 Nyíregyháza, Pazonyi út (mol)","Nyíregyháza, Pazonyi út",Nyíregyháza,4400,mol,0,https://holtankoljak.net/mol_Nyiregyhaza_Pazonyiut
"1117 Budapest XI, Prielle Kornélia u. (XI.) (mol)","Budapest XI, Prielle Kornélia u.",Budapest XI,1117,mol,0,https://holtankoljak.net/mol_budapest_priellekorneliauxi
"3060 Pásztó, Fő út  (mol)","Pásztó, Fő út",Pásztó,3060,mol,0,https://holtankoljak.net/mol_Paszto_Fout
"7361 Kaposszekcső, 611-es főút 0103/27 hrsz. (Petőfi u.) (mol)","Kaposszekcső, 611-es főút 0103/27 hrsz.",Kaposszekcső,7361,mol,0,https://holtankoljak.net/mol_kaposszekcso_611-esfout010327hrszpetofiu
"2432 Szabadegyháza, Külterület (magán)","Szabadegyháza, Külterület",Szabadegyháza,2432,magán,0,https://holtankoljak.net/magan_Szabadegyhaza_Kulterulet
"2600 Vác, Gödöllői út 1. (omv)","Vác, Gödöllői út 1.",Vác,2600,omv,0,https://holtankoljak.net/omv_Vac_Godolloiut1
"9100 Tét, Debrecen u. 45 (Oldtimer83)","Tét, Debrecen u. 45",Tét,9100,Oldtimer83,0,https://holtankoljak.net/Oldtimer83_Tet_Debrecenu45
"8623 Balatonföldvár, Szentgyörgyi út  (mol)","Balatonföldvár, Szentgyörgyi út",Balatonföldvár,8623,mol,0,https://holtankoljak.net/mol_Balatonfoldvar_Szentgyorgyiut
"8000 Székesfehérvár, Balatoni út (mol)","Székesfehérvár, Balatoni út",Székesfehérvár,8000,mol,0,https://holtankoljak.net/mol_Szekesfehervar_Balatoniut
"3580 Tiszaújváros, Debreceni út 2. (Hunpetrol)","Tiszaújváros, Debreceni út 2.",Tiszaújváros,3580,Hunpetrol,0,https://holtankoljak.net/Hunpetrol_Tiszaujvaros_Debreceniut2
"2657 Tolmács, Hrsz: 0133/22 a 2-es számú főút Tolmácsi Leágazás (Conoil benzinkút)","Tolmács, Hrsz: 0133/22 a 2-es számú főút Tolmácsi Leágazás",Tolmács,2657,Conoil benzinkút,0,https://holtankoljak.net/conoil_benzinkut_tolmacs_hrsz013322a2-esszamufouttolmacsileagazas#tartalom
"2120 Dunakeszi, 2/A főút Nyugat (shell)","Dunakeszi, 2/A főút Nyugat",Dunakeszi,2120,shell,0,https://holtankoljak.net/shell_Dunakeszi_2AfoutNyugat
"8751 Zalakomár, Tavasz utca 32 (Mobil Gáz)","Zalakomár, Tavasz utca 32",Zalakomár,8751,Mobil Gáz,0,https://holtankoljak.net/Mobil_Gaz_Zalakomar_Tavaszutca32
"9023 Győr, Bán Aladár u. 3. - Adyváros (oil)","Győr, Bán Aladár u. 3. - Adyváros",Győr,9023,oil,0,https://holtankoljak.net/oil_gyor_banaladaru3-adyvaros#tartalom
"4400 Nyíregyháza, Korányi Frigyes utca 14 (shell)","Nyíregyháza, Korányi Frigyes utca 14",Nyíregyháza,4400,shell,0,https://holtankoljak.net/shell_Nyiregyhaza_KoranyiFrigyesutca14
"1086 Budapest VIII, Teleki tér (omv)","Budapest VIII, Teleki tér",Budapest VIII,1086,omv,0,https://holtankoljak.net/omv_budapest_viii_telekiter
"2173 Kartal, Rákóczi út 1. (mol)","Kartal, Rákóczi út 1.",Kartal,2173,mol,0,https://holtankoljak.net/mol_Kartal_Rakocziut1
"9000 Győr, Szigethy A-Táncsics M u. sarok (mobil-petrol)","Győr, Szigethy A-Táncsics M u. sarok",Győr,9000,mobil-petrol,0,https://holtankoljak.net/mobil-petrol_gyor_szigethya-tancsicsmusarok
"1013 Budapest I, Alkotás u. 20-24. (shell)","Budapest I, Alkotás u. 20-24.",Budapest I,1013,shell,0,https://holtankoljak.net/shell_budapest_i_alkotasu20-24
"6750 Algyő, Szeged 47.sz.fkl.út ( Algyő Pf.:11 )  (mol)","Algyő, Szeged 47.sz.fkl.út",Algyő,6750,mol,0,https://holtankoljak.net/mol_algyo_szeged47szfklutalgyopf11
"2085 Pilisvörösvár, 10. sz. fkl. út (Hrsz. 0140/31.) (mol)","Pilisvörösvár, 10. sz. fkl. út",Pilisvörösvár,2085,mol,0,https://holtankoljak.net/mol_pilisvorosvar_10szfkluthrsz014031
"2030 Érd, Budafoki út (6.sz.főút) (lukoil)","Érd, Budafoki út",Érd,2030,lukoil,0,https://holtankoljak.net/lukoil_erd_budafokiut6szfout
"1194 Budapest XIX, Puskás F. u. (XIX.)  (mol)","Budapest XIX, Puskás F. u.",Budapest XIX,1194,mol,0,https://holtankoljak.net/mol_budapest_puskasfuxix
"8754 Galambok, 7-es főút 196km 024/5 hrsz (lukoil)","Galambok, 7-es főút 196km 024/5 hrsz",Galambok,8754,lukoil,0,https://holtankoljak.net/lukoil_galambok_7-esfout196km0245hrsz
"8638 Balatonlelle, Rákóczi Ferenc u. 1.  (mol)","Balatonlelle, Rákóczi Ferenc u. 1.",Balatonlelle,8638,mol,0,https://holtankoljak.net/mol_Balatonlelle_RakocziFerencu1
"2451 Ercsi, M6 II. (bejövő) (M6 külterület 30 km szelvény) (mol)","Ercsi, M6 II.",Ercsi,2451,mol,1,https://holtankoljak.net/mol_ercsi_m6iibejovom6kulterulet30kmszelveny
"6728 Szeged, Fonógyári út 18. (OIL!)","Szeged, Fonógyári út 18.",Szeged,6728,OIL!,0,https://holtankoljak.net/OIL!_Szeged_Fonogyariut18
"4002 Debrecen, Balmazújvárosi út 5. (shell)","Debrecen, Balmazújvárosi út 5.",Debrecen,4002,shell,0,https://holtankoljak.net/shell_Debrecen_Balmazujvarosiut5
"3500 Miskolc, 3. sz. főút (shell)","Miskolc, 3. sz. főút",Miskolc,3500,shell,0,https://holtankoljak.net/shell_Miskolc_3szfout
"8600 Siófok, Vak Bottyán u. 27. (shell)","Siófok, Vak Bottyán u. 27.",Siófok,8600,shell,0,https://holtankoljak.net/shell_Siofok_VakBottyanu27
"4030 Debrecen, Monostorpályi út 35/A. (Mol Postaautó)","Debrecen, Monostorpályi út 35/A.",Debrecen,4030,Mol Postaautó,0,https://holtankoljak.net/Mol_Postaauto_Debrecen_Monostorpalyiut35A
