Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"6728 Szeged, Back Bernát u. 6. (oil)","Szeged, Back Bernát u. 6.",Szeged,6728,oil,0,https://holtankoljak.net/oil_Szeged_BackBernatu6
"6725 Szeged, Kálvária sugárút 96.  (mol)","Szeged, Kálvária sugárút 96.",Szeged,6725,mol,0,https://holtankoljak.net/mol_Szeged_Kalvariasugarut96
"7100 Szekszárd, M6 II. bal oldal (mol)","Szekszárd, M6 II. bal oldal",Szekszárd,7100,mol,1,https://holtankoljak.net/mol_Szekszard_M6IIbaloldal
"2600 Vác, Balassagyarmati út 1. (mol)","Vác, Balassagyarmati út 1.",Vác,2600,mol,0,https://holtankoljak.net/mol_Vac_Balassagyarmatiut1
"4553 Apagy, 41-es főút/Béke út 55 (lukoil)","Apagy, 41-es főút/Béke út 55",Apagy,4553,lukoil,0,https://holtankoljak.net/lukoil_apagy_41-esfoutbekeut55
"8092 Pátka, Külterület 0190/101 hrsz. (GP Petrol)","Pátka, Külterület 0190/101 hrsz.",Pátka,8092,GP Petrol,0,https://holtankoljak.net/GP_Petrol_Patka_Kulterulet0190101hrsz
"5600 Békéscsaba, Gyár utca 1. (mobil-petrol)","Békéscsaba, Gyár utca 1.",Békéscsaba,5600,mobil-petrol,0,https://holtankoljak.net/mobil-petrol_Bekescsaba_Gyarutca1
"1118 Budapest XI, Rétköz utca (XI.) (mol)","Budapest XI, Rétköz utca",Budapest XI,1118,mol,0,https://holtankoljak.net/mol_budapest_retkozutcaxi
"7400 Kaposvár, Berzsenyi u. (shell)","Kaposvár, Berzsenyi u.",Kaposvár,7400,shell,0,https://holtankoljak.net/shell_Kaposvar_Berzsenyiu
"2025 Visegrád, 11.sz.fkl. út (mol)","Visegrád, 11.sz.fkl. út",Visegrád,2025,mol,0,https://holtankoljak.net/mol_Visegrad_11szfklut
"9400 Sopron, Kőfaragó tér  (mol)","Sopron, Kőfaragó tér",Sopron,9400,mol,0,https://holtankoljak.net/mol_Sopron_Kofaragoter
