City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Soltvadkert,471,203.0,9.7,25.0,1344,0.2,89.1,59.9,534,505.9,717.0,0.0,2518,19.6
Izsák,512,102.0,9.3,27.6,1327,0.1,84.7,54.8,489,479.8,402.0,1.0,2715,19.8
Tabdi,553,62.0,7.3,27.0,1299,,80.4,57.4,530,516.5,138.0,3.0,2450,30.1
Császártöltés,489,78.0,9.3,34.2,1181,1.5,100.0,52.0,439,448.6,180.0,2.0,2687,15.5
Akasztó,483,133.0,9.0,27.0,1412,1.1,95.4,58.5,507,467.8,312.0,1.0,2783,19.8
Soltszentimre,489,83.0,10.3,23.7,1332,,86.5,53.2,461,453.0,102.0,4.0,2889,13.5
Páhi,603,136.0,6.6,22.6,1386,,69.8,57.2,541,574.5,187.0,3.0,2564,25.8
Bócsa,486,183.0,4.9,21.7,1149,,52.0,64.9,532,615.6,321.0,1.0,2159,25.0
Kecel,469,174.0,8.4,26.6,1104,0.3,90.5,54.9,480,448.8,995.0,0.0,2300,9.8
Bugacpusztaháza,532,38.0,7.6,21.9,1406,,68.8,58.2,460,600.0,22.0,8.0,3056,52.5
Kiskunfélegyháza,515,155.0,7.1,26.8,1720,0.3,79.1,58.1,510,426.3,1079.0,0.0,3372,14.2
Pálmonostora,612,62.0,9.4,25.8,1146,,56.9,49.2,435,410.1,243.0,3.0,2638,12.3
Bugac,542,81.0,8.1,22.9,1344,1.6,66.8,60.0,503,511.5,452.0,1.0,2675,15.9
Petőfiszállás,570,87.0,8.3,23.5,1346,0.4,38.0,55.2,484,543.3,269.0,2.0,2781,25.4
Gátér,544,82.0,6.2,26.7,1669,0.4,81.1,57.5,539,487.7,105.0,8.0,3095,12.4
Kunfehértó,452,98.0,7.3,27.9,1595,0.3,87.5,56.9,501,447.8,127.0,1.0,3185,32.1
Kiskunhalas,489,201.0,9.9,28.1,1602,1.3,87.6,53.5,483,440.2,507.0,0.0,3321,19.2
Pirtó,494,141.0,10.2,28.9,1528,,78.0,50.4,478,545.2,66.0,4.0,3197,30.8
Balotaszállás,521,108.0,7.1,26.4,1186,,61.1,50.5,472,424.3,196.0,3.0,2514,19.6
Kisszállás,529,114.0,11.3,29.4,1279,0.2,78.5,50.0,475,404.5,138.0,2.0,2695,13.7
Tompa,453,142.0,9.3,24.6,1235,1.3,92.5,48.7,427,405.8,324.0,1.0,2890,23.6
Zsana,607,86.0,7.0,27.6,1168,,44.2,59.3,545,548.6,184.0,3.0,2143,23.6
Kelebia,533,42.0,8.5,27.2,1398,3.0,77.8,49.8,462,405.0,159.0,1.0,3028,28.5
Harkakötöny,514,80.0,8.9,26.2,1394,,71.6,54.2,537,517.9,115.0,5.0,2597,11.2
Szank,531,69.0,9.8,27.8,1324,0.6,79.4,53.2,461,516.5,296.0,2.0,2873,18.9
Kiskunmajsa,480,206.0,8.6,23.7,1353,0.9,76.2,54.4,482,424.5,1080.0,0.0,2810,13.8
Jászszentlászló,531,101.0,8.3,26.7,1446,,76.6,57.6,501,483.8,223.0,2.0,2886,17.4
Kömpöc,575,111.0,8.2,29.8,1044,,75.4,56.0,489,522.2,123.0,6.0,2134,5.4
Móricgát,884,55.0,11.6,29.8,1115,,13.4,56.8,445,771.3,120.0,5.0,2506,50.3
Csólyospálos,628,85.0,4.6,25.4,1019,,51.5,61.5,515,533.3,365.0,2.0,1977,12.2
Balástya,575,76.0,5.3,24.8,1152,,37.7,58.5,489,459.3,632.0,1.0,2356,17.5
Pusztaszer,553,44.0,6.5,27.8,1181,,73.1,55.0,463,445.3,166.0,3.0,2548,13.0
Csengele,529,93.0,8.0,24.8,884,,43.6,59.1,448,471.6,371.0,2.0,1975,5.0
Baks,445,87.0,7.5,26.7,925,,100.0,49.2,400,321.5,103.0,3.0,2312,14.3
Kistelek,485,163.0,8.0,29.3,1374,,90.5,57.5,483,407.0,412.0,0.0,2843,24.4
Ópusztaszer,421,75.0,6.6,27.3,1085,,54.4,46.2,435,352.3,219.0,2.0,2496,29.2
Fényeslitke,377,65.0,9.1,25.7,1756,,94.9,50.1,499,400.3,176.0,1.0,3522,53.1
Gyulaháza,363,131.0,11.4,21.9,1405,,91.1,44.3,522,373.5,122.0,3.0,2691,10.6
Döge,355,43.0,12.1,20.6,1343,0.2,93.2,44.8,509,345.6,361.0,6.0,2640,20.0
Kékcse,360,59.0,11.2,23.1,1006,,88.6,42.5,458,327.5,64.0,5.0,2196,14.1
Mezőladány,362,71.0,6.3,19.4,1126,,87.9,47.7,477,287.5,80.0,5.0,2358,14.6
Ajak,393,80.0,9.5,25.8,1873,,92.9,52.1,543,401.1,234.0,2.0,3446,11.0
Kisvárda,459,281.0,10.1,27.4,1864,0.5,99.6,54.8,515,421.8,338.0,0.0,3620,44.5
Anarcs,339,67.0,12.4,21.8,1574,,95.0,51.3,522,375.5,88.0,4.0,3017,20.2
Nyírlövő,380,30.0,13.5,23.6,1490,,92.4,44.9,537,372.7,66.0,8.0,2774,30.4
Lövőpetri,514,117.0,8.4,29.2,1334,1.1,81.8,42.1,500,457.9,68.0,20.0,2667,17.6
Pap,377,83.0,9.0,25.5,1492,,93.4,52.7,524,389.2,135.0,4.0,2847,16.5
Jéke,402,104.0,15.4,26.6,1559,,100.0,48.9,530,408.0,46.0,14.0,2942,14.3
Újdombrád,310,57.0,8.2,19.0,1294,,90.4,52.3,504,308.9,52.0,19.0,2569,11.5
Szabolcsbáka,433,67.0,10.2,25.0,1394,0.4,84.4,47.0,506,328.9,72.0,7.0,2754,18.1
Szabolcsveresmart,374,67.0,15.8,21.9,1233,0.4,87.3,37.1,515,291.6,448.0,4.0,2394,16.1
Rétközberencs,358,67.0,5.8,17.0,826,,78.8,39.6,441,230.5,79.0,2.0,1875,54.3
Tiszakanyár,374,83.0,5.2,21.3,1133,,88.1,44.5,469,329.6,68.0,3.0,2416,43.3
Nyírtass,430,141.0,9.4,22.4,1476,0.3,88.9,49.5,530,391.4,214.0,2.0,2784,30.8
Újkenéz,409,66.0,11.3,21.8,1056,0.7,93.6,37.8,456,322.4,86.0,8.0,2317,11.0
Pátroha,369,51.0,11.5,19.9,1167,0.4,79.7,43.6,477,282.3,265.0,3.0,2449,13.9
Tornyospálca,369,66.0,11.7,22.1,1201,,92.8,45.5,498,341.2,267.0,2.0,2411,18.6
Nyírkarász,393,65.0,9.4,23.4,1271,,90.0,45.1,498,329.3,148.0,3.0,2550,13.6
Dombrád,384,111.0,12.4,19.2,1070,,87.6,42.6,464,314.6,192.0,1.0,2304,22.3
Kisigmánd,446,22.0,9.4,25.5,2321,,94.5,61.9,608,538.8,33.0,10.0,3815,63.1
Mocsa,390,61.0,9.1,26.1,2012,0.7,100.0,60.6,553,440.5,125.0,3.0,3641,20.5
Nagyigmánd,421,96.0,7.5,26.1,2251,0.8,100.0,59.6,590,507.5,205.0,1.0,3813,44.1
Bábolna,378,110.0,5.4,23.2,2550,0.4,91.8,62.2,584,454.9,32.0,1.0,4366,36.4
Almásfüzitő,531,66.0,7.5,27.2,2204,0.3,93.1,65.9,530,359.0,7.0,2.0,4162,61.6
Ács,395,95.0,7.5,23.7,2116,0.9,100.0,60.3,546,414.1,216.0,1.0,3874,17.2
Komárom,453,148.0,6.3,24.8,2418,3.5,99.5,65.1,542,457.1,168.0,0.0,4465,39.4
Csém,433,78.0,10.0,23.3,1841,0.7,100.0,63.4,544,494.8,25.0,9.0,3385,71.4
Bana,367,77.0,6.0,23.7,2037,1.0,97.7,64.6,576,444.9,104.0,4.0,3539,14.4
Köblény,576,109.0,16.3,37.0,901,,85.8,44.9,465,309.8,15.0,43.0,1940,8.7
Magyaregregy,472,29.0,8.6,32.2,1136,,97.6,45.4,416,446.0,63.0,16.0,2733,9.7
Bikal,466,100.0,7.0,30.9,1552,,96.9,61.3,492,404.0,38.0,4.0,3152,41.0
Máza,423,44.0,10.7,29.8,1141,0.9,97.9,47.0,424,376.8,15.0,6.0,2692,22.1
Komló,514,101.0,11.5,34.6,1287,0.8,91.0,50.6,444,366.8,50.0,0.0,2900,17.5
Szászvár,461,185.0,8.1,32.4,1295,0.4,99.9,51.7,476,445.8,38.0,2.0,2723,26.7
Szalatnak,653,115.0,0.9,43.5,768,,94.2,48.2,380,339.7,20.0,24.0,2022,7.1
Magyarszék,395,123.0,10.3,30.1,1462,,99.5,53.0,452,502.6,33.0,4.0,3234,33.8
Egyházaskozár,473,70.0,8.0,32.7,1064,,100.0,50.3,424,374.1,28.0,9.0,2511,21.6
Mánfa,424,39.0,9.0,23.8,1483,,91.0,51.8,486,385.8,16.0,9.0,3054,28.7
Liget,376,26.0,10.5,27.0,1014,1.1,94.4,43.7,389,365.1,18.0,28.0,2607,13.9
Hegyhátmaróc,777,89.0,5.4,35.7,983,,96.6,52.7,374,455.4,14.0,83.0,2626,58.3
Vékény,530,171.0,6.3,29.1,1239,,98.4,40.6,503,495.7,8.0,53.0,2462,42.1
Szárász,700,,14.3,35.0,718,50.0,100.0,52.4,360,375.0,5.0,91.0,1993,18.2
Bodolyabér,585,193.0,22.0,34.3,865,,85.1,42.1,350,323.7,17.0,23.0,2468,45.5
Oroszló,465,78.0,20.9,29.3,965,2.2,100.0,36.2,454,421.9,17.0,56.0,2128,16.7
Tófű,528,93.0,9.0,37.0,998,,100.0,44.9,384,425.9,6.0,,2599,
Kárász,532,35.0,11.4,32.0,1283,1.1,89.4,54.8,458,457.7,34.0,29.0,2801,20.0
Magyarhertelend,478,54.0,11.4,32.9,1534,,94.3,48.0,468,537.9,26.0,7.0,3281,40.6
Mecsekpölöske,442,56.0,12.5,33.0,1209,,93.0,50.0,475,445.1,12.0,34.0,2546,6.9
Csákánydoroszló,354,104.0,3.2,28.8,1552,6.7,100.5,53.5,481,407.8,82.0,2.0,3228,29.0
Hegyhátszentmárton,818,,2.9,27.3,1352,,100.0,57.1,515,560.6,5.0,,2627,
Döröske,664,86.0,3.6,28.4,1366,,93.5,45.5,379,491.4,5.0,200.0,3601,40.0
