City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Budapest,549,146.0,7.5,23.5,2508,1.8,100.6,63.2,508,411.8,2157.0,,4936,
Magyarpolány,408,47.0,4.4,26.8,1881,3.4,97.9,64.2,502,433.0,48.0,6.0,3748,23.3
Farkasgyepű,466,28.0,2.9,31.4,2099,1.6,98.8,64.9,569,514.1,17.0,4.0,3688,62.5
Öcs,609,57.0,6.1,29.3,1172,,95.3,54.2,484,431.0,12.0,50.0,2423,10.0
Nyirád,419,50.0,6.9,27.9,1562,1.6,100.0,58.5,514,411.7,58.0,3.0,3039,30.3
Ajka,474,146.0,5.1,31.0,1889,4.6,100.1,62.8,512,443.3,316.0,0.0,3688,25.7
Halimba,390,26.0,4.3,23.7,1619,0.9,98.4,62.5,514,415.3,35.0,2.0,3151,71.7
Kislőd,374,34.0,6.8,24.1,1617,1.2,98.2,62.7,501,424.7,29.0,7.0,3230,33.3
Úrkút,413,64.0,5.0,28.6,1755,1.9,96.9,65.0,543,474.3,32.0,3.0,3230,21.9
Városlőd,419,56.0,8.0,27.6,1709,0.5,99.8,60.0,543,407.0,32.0,5.0,3146,32.5
Csehbánya,435,65.0,5.6,21.1,2237,2.0,91.0,58.5,556,1412.3,8.0,33.0,4025,56.7
Szőc,237,41.0,16.5,31.5,965,2.2,96.6,35.0,323,180.0,15.0,12.0,2989,72.0
Hévízgyörk,364,92.0,6.6,23.7,1981,0.2,87.5,60.1,537,437.7,73.0,3.0,3689,17.4
Verseg,428,40.0,7.6,25.4,1624,0.5,93.2,55.7,494,400.0,26.0,6.0,3289,19.9
Iklad,342,94.0,6.0,27.1,2076,,100.3,63.1,518,428.8,17.0,1.0,4006,61.8
Vácegres,354,22.0,6.9,18.2,1576,,88.1,46.3,490,397.8,38.0,14.0,3219,31.0
Aszód,416,226.0,6.0,23.4,2193,0.1,89.6,61.6,537,405.3,29.0,1.0,4087,45.8
Galgamácsa,400,48.0,7.8,24.2,1911,,96.6,60.0,521,439.4,39.0,4.0,3665,28.6
Domony,338,41.0,11.3,22.8,1628,,87.4,50.5,472,418.1,28.0,4.0,3450,35.7
Tura,385,123.0,8.9,24.3,1554,0.1,91.9,53.1,468,419.7,90.0,1.0,3323,12.5
Galgahévíz,395,83.0,8.0,25.2,1700,0.2,87.3,58.0,507,412.5,60.0,2.0,3354,22.0
Bag,358,88.0,7.4,24.6,1573,0.2,96.7,52.7,457,403.0,35.0,2.0,3443,30.8
Kartal,336,79.0,7.2,22.4,1855,0.3,100.3,58.2,526,437.2,64.0,1.0,3526,14.6
Bácsszőlős,668,30.0,6.1,27.0,822,,37.3,39.9,433,370.9,55.0,18.0,1898,17.5
Bácsborsód,401,68.0,5.7,43.6,1157,,96.6,49.5,409,326.6,99.0,4.0,2831,42.5
Bácsbokod,533,114.0,8.0,30.8,1365,0.3,99.3,52.8,491,423.9,124.0,1.0,2781,25.5
Csikéria,650,54.0,18.3,32.1,1095,,75.8,35.5,383,411.9,81.0,8.0,2858,10.7
Katymár,586,78.0,11.3,34.6,958,1.0,91.8,36.5,401,346.2,139.0,3.0,2385,15.0
Madaras,570,94.0,12.5,27.5,1068,0.3,91.9,48.0,468,372.5,172.0,2.0,2279,7.4
Bácsalmás,499,126.0,10.5,30.0,1278,0.7,89.3,49.0,463,407.2,259.0,1.0,2759,20.6
Kunbaja,528,65.0,12.7,29.0,928,1.8,94.2,48.8,417,350.3,81.0,3.0,2223,14.6
Mátételke,572,61.0,14.5,30.3,887,,94.7,43.7,422,332.0,73.0,9.0,2101,36.5
Tataháza,605,82.0,9.6,28.9,1257,0.5,96.5,48.7,491,416.4,167.0,4.0,2560,24.1
Vaskút,420,79.0,10.7,27.7,1301,0.5,98.3,51.4,467,418.7,125.0,1.0,2785,36.7
Bátmonostor,491,49.0,11.9,28.1,1247,0.6,99.3,50.9,474,431.1,99.0,4.0,2629,19.2
Gara,420,82.0,8.2,24.1,972,1.2,97.2,42.0,409,319.7,121.0,2.0,2376,19.0
Nagybaracska,457,94.0,8.2,26.6,1034,0.5,100.0,48.2,421,339.9,115.0,2.0,2458,23.6
Dunafalva,661,116.0,11.9,31.5,1087,,96.7,45.1,426,367.0,82.0,6.0,2550,8.4
Bácsszentgyörgy,742,78.0,7.9,34.4,832,,92.7,39.6,409,390.6,30.0,37.0,2032,29.6
Hercegszántó,580,83.0,9.4,30.7,1220,,83.0,44.8,435,338.4,181.0,2.0,2803,18.5
Dávod,564,48.0,9.7,32.3,1120,0.4,100.0,47.3,449,383.3,81.0,2.0,2493,12.5
Érsekcsanád,376,64.0,8.4,23.7,1251,0.2,100.1,51.1,450,452.4,185.0,2.0,2778,28.6
Csávoly,506,111.0,12.6,29.3,1332,0.7,97.3,49.5,486,413.7,116.0,2.0,2740,33.4
Csátalja,500,91.0,10.0,30.4,1017,0.9,97.6,46.1,396,387.8,72.0,3.0,2566,29.9
Nemesnádudvar,432,134.0,8.7,25.9,1163,,99.9,53.7,434,443.1,122.0,1.0,2681,28.3
Szeremle,469,83.0,12.2,25.9,1236,,93.4,44.0,478,392.1,62.0,6.0,2583,19.4
Baja,519,227.0,8.7,30.3,1627,2.7,97.8,53.9,471,456.9,377.0,0.0,3455,24.5
Érsekhalma,544,56.0,5.8,30.7,1099,5.1,92.8,55.6,456,491.6,27.0,3.0,2410,47.7
Sükösd,453,93.0,10.9,28.4,1150,0.2,97.7,50.1,431,391.8,263.0,1.0,2667,20.4
Felsőszentiván,477,124.0,9.2,29.4,1241,1.2,98.2,49.7,486,388.6,268.0,2.0,2555,17.5
Baktalórántháza,308,176.0,7.7,19.6,1185,0.4,92.4,44.6,506,305.6,131.0,1.0,2341,36.0
Magy,412,78.0,9.6,23.3,1101,,94.3,36.3,485,567.4,108.0,7.0,2271,28.1
Laskod,483,72.0,11.4,25.0,1414,0.6,89.5,51.3,535,376.7,54.0,5.0,2645,12.0
Nyíribrony,390,109.0,14.4,21.9,966,,87.4,43.4,427,319.7,104.0,5.0,2263,18.1
Nyírkércs,419,108.0,10.6,23.3,1414,,98.7,53.8,543,409.7,76.0,4.0,2606,38.7
Ófehértó,402,76.0,8.0,19.9,1162,0.3,83.3,49.2,467,328.9,118.0,1.0,2487,22.9
Rohod,378,119.0,15.3,19.3,1052,,89.5,37.5,516,504.3,100.0,5.0,2038,14.8
Nyírjákó,429,59.0,12.4,23.5,1401,,93.4,44.5,536,387.1,89.0,6.0,2614,11.3
Levelek,334,115.0,11.7,18.9,1336,,99.9,48.1,520,383.3,145.0,2.0,2569,17.6
Besenyőd,359,42.0,17.9,15.8,850,,77.4,36.1,459,287.7,49.0,10.0,1851,20.4
Ramocsaháza,383,71.0,7.2,22.8,1022,,85.1,46.1,452,309.3,102.0,2.0,2259,40.6
Petneháza,430,83.0,16.7,22.0,1563,1.4,92.5,39.8,552,394.7,134.0,4.0,2831,21.2
Nógrádmarcal,429,63.0,11.0,23.7,1486,,82.8,50.0,503,355.0,25.0,16.0,2953,34.9
Csitár,572,,14.9,29.6,1666,,56.3,57.1,496,454.0,24.0,19.0,3357,49.1
Érsekvadkert,400,66.0,9.1,24.6,1589,0.4,92.8,55.2,518,372.7,48.0,2.0,3070,17.3
Hugyag,370,34.0,11.7,17.2,980,0.7,61.9,34.2,467,270.9,21.0,16.0,2100,12.9
Mohora,411,43.0,11.5,21.5,1490,0.5,91.6,45.8,478,344.5,27.0,10.0,3118,24.2
Hont,615,61.0,9.4,24.5,1331,3.0,95.1,46.1,442,358.3,17.0,21.0,3010,33.3
Nógrádkövesd,464,62.0,7.7,27.0,2337,,85.6,57.8,557,433.2,12.0,7.0,4198,40.0
Csesztve,530,57.0,8.3,21.4,1601,,70.4,55.4,458,316.2,16.0,,3496,
Bercel,404,96.0,10.0,29.0,1629,,82.1,52.8,503,381.0,47.0,1.0,3241,52.7
Galgaguta,482,136.0,7.5,29.5,1700,,91.2,57.7,507,426.1,27.0,14.0,3352,23.9
Ipolyvece,449,25.0,8.5,27.7,1418,2.0,92.9,56.2,451,423.7,31.0,10.0,3145,11.5
Cserhátsurány,497,55.0,12.2,26.2,1648,,86.5,50.6,532,387.4,31.0,9.0,3099,35.1
Terény,765,31.0,8.1,31.0,1352,,73.8,50.9,455,435.7,26.0,18.0,2970,29.1
Magyarnándor,464,110.0,8.9,29.0,1655,0.3,92.0,53.0,520,414.4,27.0,6.0,3179,31.0
Drégelypalánk,455,56.0,10.0,27.3,1411,2.5,87.3,48.6,449,364.8,70.0,3.0,3144,45.3
Szügy,374,64.0,7.2,21.3,1966,,94.3,57.5,542,455.1,42.0,1.0,3629,78.6
Dejtár,444,54.0,10.0,25.2,1468,0.3,88.7,51.0,483,370.9,35.0,6.0,3042,23.6
Becske,575,79.0,15.3,28.5,1128,0.8,90.1,46.8,446,383.9,23.0,22.0,2530,13.3
Herencsény,579,59.0,5.8,32.0,1377,,82.6,55.2,473,385.4,28.0,13.0,2914,12.7
Iliny,596,,16.5,26.5,1738,,81.1,45.6,494,523.2,13.0,111.0,3519,11.1
Cserháthaláp,500,29.0,11.9,24.9,1389,,89.7,53.5,488,440.0,17.0,32.0,2847,38.7
Szanda,736,105.0,9.4,30.6,1431,,73.4,51.7,478,435.9,48.0,13.0,2992,10.7
Patvarc,403,14.0,10.3,22.6,1677,1.0,86.9,51.4,531,438.7,29.0,16.0,3160,22.2
Ipolyszög,414,19.0,9.6,17.4,1519,0.6,88.2,46.0,495,391.4,6.0,23.0,3068,7.0
Szécsénke,654,53.0,8.1,37.8,1395,,97.6,65.9,455,462.8,13.0,48.0,3064,14.3
Őrhalom,419,31.0,10.4,25.8,1657,0.7,85.1,52.3,512,404.4,33.0,10.0,3233,26.8
Patak,418,50.0,13.9,21.4,1466,,84.5,52.5,492,299.5,7.0,6.0,2981,29.3
Debercsény,703,,22.9,43.2,1839,,88.5,50.0,506,337.8,13.0,200.0,3633,20.0
Balassagyarmat,480,262.0,7.9,32.5,2018,2.0,98.5,57.3,520,443.2,122.0,0.0,3880,37.1
Felsőörs,306,54.0,7.1,16.1,2081,,95.8,62.0,526,445.5,55.0,4.0,3956,27.7
Litér,347,54.0,6.6,22.5,2016,0.1,96.3,62.8,529,441.2,26.0,4.0,3813,21.9
Balatonfőkajár,384,71.0,10.7,22.1,1677,,100.0,56.9,515,395.4,29.0,4.0,3253,34.4
Balatonakarattya,482,188.0,11.4,24.3,1783,,81.2,51.6,474,434.7,2.0,,3766,
Balatonfűzfő,445,103.0,8.4,26.9,1883,1.5,99.3,56.1,511,457.0,16.0,1.0,3681,57.1
Balatonalmádi,470,114.0,7.3,25.7,2065,0.9,96.2,57.2,489,517.5,48.0,0.0,4224,28.6
Csajág,409,36.0,16.0,23.8,1675,,98.5,51.5,527,410.6,32.0,9.0,3181,24.5
Küngös,405,66.0,6.2,24.8,1951,,100.0,55.8,585,486.7,27.0,11.0,3333,35.5
Balatonkenese,461,188.0,7.8,26.9,1917,0.8,102.5,57.0,512,501.8,51.0,1.0,3741,38.2
Papkeszi,388,84.0,8.3,24.9,1594,0.7,100.2,56.5,505,468.5,25.0,5.0,3154,26.9
Királyszentistván,350,22.0,10.2,22.5,1862,0.6,100.0,59.3,548,494.6,12.0,15.0,3401,68.7
Szentantalfa,267,187.0,4.6,13.8,1082,1.2,100.7,61.8,485,432.8,53.0,7.0,2230,37.1
Zánka,513,177.0,4.6,25.7,1750,,99.4,57.2,505,589.4,70.0,2.0,3462,45.5
Aszófő,491,190.0,7.9,29.9,2079,0.9,92.7,56.0,540,575.8,36.0,13.0,3847,52.6
Monoszló,602,408.0,18.3,25.5,1803,,100.0,53.3,570,795.9,23.0,53.0,3162,15.8
Óbudavár,625,,4.2,22.9,1431,,100.0,58.3,469,770.8,14.0,100.0,3052,50.0
Balatonakali,549,302.0,5.0,28.6,1755,,98.9,60.4,510,485.6,45.0,6.0,3444,26.5
Balatonszepezd,462,87.0,12.0,29.4,1262,1.5,98.1,47.5,373,448.8,19.0,18.0,3380,33.9
Örvényes,588,131.0,6.3,24.2,1816,,96.6,61.5,552,588.2,19.0,43.0,3288,26.1
Pécsely,396,54.0,9.6,25.4,1758,,100.0,59.8,521,528.7,50.0,7.0,3373,49.6
Csopak,493,98.0,5.2,26.3,2149,1.1,98.4,62.8,506,654.8,37.0,2.0,4251,53.2
Vászoly,428,,8.0,19.9,1844,,86.2,56.0,492,469.2,25.0,31.0,3752,34.4
Dörgicse,604,111.0,,25.2,1829,,101.2,62.0,477,492.6,47.0,20.0,3835,12.0
Balatonudvari,517,229.0,3.5,24.9,1795,,98.9,64.8,529,571.4,16.0,10.0,3396,50.0
Paloznak,444,94.0,6.8,23.2,2182,,94.0,60.0,495,516.0,21.0,18.0,4408,41.8
Tagyon,364,85.0,20.0,18.6,1341,,86.0,52.3,491,559.3,26.0,56.0,2731,27.8
Alsóörs,417,158.0,5.7,24.4,2045,0.3,102.6,60.4,507,461.1,28.0,3.0,4034,39.6
Tihany,501,596.0,6.0,25.1,1881,0.5,99.6,67.3,539,525.9,52.0,1.0,3489,46.5
Balatonszőlős,335,30.0,6.2,18.9,1729,,83.8,66.7,546,500.8,49.0,11.0,3166,36.8
Lovas,364,,10.6,21.8,1813,,102.6,56.0,501,470.9,27.0,19.0,3620,35.8
Balatonfüred,502,294.0,5.8,29.0,1905,2.2,99.1,62.5,509,506.8,177.0,0.0,3743,33.4
Balatoncsicsó,478,86.0,10.1,19.4,1274,,83.5,63.9,506,469.8,49.0,17.0,2518,43.3
Szentjakabfa,411,89.0,18.7,18.8,1467,,89.1,58.7,504,500.0,16.0,40.0,2908,40.0
Hortobágy,486,179.0,9.9,29.5,1521,,86.9,57.3,540,414.0,93.0,1.0,2817,36.4
Újszentmargita,487,83.0,8.7,25.8,1200,0.8,85.5,57.3,500,327.0,70.0,3.0,2402,19.8
Balmazújváros,404,117.0,9.6,24.2,1454,0.3,89.8,55.3,513,345.7,729.0,0.0,2834,9.3
Egyek,478,104.0,15.5,23.3,1045,1.4,88.1,45.2,487,316.9,179.0,1.0,2144,6.4
Tiszacsege,465,98.0,15.9,23.8,1154,0.7,99.9,48.7,493,322.8,192.0,1.0,2339,5.5
Lad,508,74.0,9.4,27.3,1093,,96.0,39.8,449,334.0,37.0,10.0,2431,34.7
Darány,402,84.0,13.1,31.4,842,,95.8,40.9,397,327.7,32.0,5.0,2118,33.7
Homokszentgyörgy,514,75.0,11.8,23.2,1165,,88.4,40.4,471,365.4,94.0,5.0,2473,18.8
Kálmáncsa,447,36.0,9.3,21.4,660,,95.9,27.8,366,262.8,44.0,7.0,1804,39.7
Drávatamási,299,58.0,9.7,14.0,878,,92.2,51.0,511,194.8,14.0,6.0,1719,24.8
Rinyaújnép,1042,,11.5,8.3,468,,64.0,34.6,309,250.0,2.0,,1515,
Vízvár,703,62.0,7.6,29.7,1210,1.4,99.1,56.6,449,426.2,22.0,6.0,2695,21.4
Patosfa,555,41.0,20.2,22.9,1100,,98.5,40.5,490,391.8,27.0,29.0,2245,32.4
Istvándi,391,42.0,27.3,16.6,354,,95.7,14.2,297,165.6,13.0,22.0,1189,21.7
Kastélyosdombó,420,122.0,23.6,21.6,833,,67.0,26.4,412,240.8,8.0,91.0,2022,9.1
Rinyaújlak,531,35.0,12.1,22.0,840,,95.4,44.3,385,419.6,16.0,22.0,2180,53.3
Tótújfalu,695,49.0,18.3,28.6,823,,97.2,38.5,391,399.0,20.0,59.0,2103,5.9
Somogyaracs,506,63.0,20.9,9.4,512,,79.0,17.3,367,168.8,3.0,63.0,1397,6.3
Péterhida,669,65.0,4.7,20.1,1261,,90.3,44.2,475,376.6,13.0,,2652,
Heresznye,681,43.0,15.2,27.7,728,,99.4,24.8,337,297.9,11.0,59.0,2160,41.2
Bolhó,561,86.0,17.2,23.6,651,,94.9,36.5,335,289.0,39.0,12.0,1944,14.1
Komlósd,588,131.0,12.0,30.1,1251,,98.9,50.0,453,398.7,8.0,56.0,2758,11.1
Bélavár,757,68.0,7.0,37.7,995,,92.3,50.7,410,404.1,23.0,16.0,2427,14.8
Szentborbás,708,112.0,21.5,30.3,934,,100.0,29.2,424,337.1,20.0,100.0,2202,10.0
Babócsa,485,69.0,13.7,27.0,1066,0.6,93.7,40.0,416,314.1,34.0,3.0,2559,21.4
Csokonyavisonta,407,56.0,6.9,23.8,1007,2.1,100.0,42.9,432,358.5,63.0,3.0,2330,21.1
Drávagárdony,387,61.0,12.8,21.5,669,,98.4,29.1,430,196.3,11.0,59.0,1558,5.9
Lakócsa,508,61.0,13.9,23.5,856,,98.8,36.7,431,328.6,34.0,13.0,1987,20.0
Potony,597,51.0,12.2,53.6,801,,99.1,35.9,357,265.3,15.0,77.0,2245,15.4
Barcs,462,166.0,9.9,32.0,1427,1.3,100.0,49.9,459,409.9,146.0,0.0,3110,14.0
Szulok,449,188.0,6.6,22.4,1121,,97.2,56.4,460,441.1,62.0,8.0,2438,9.3
Mátraterenye,508,103.0,10.3,27.1,1424,0.8,79.0,48.4,495,341.4,98.0,3.0,2878,25.4
Mátraverebély,476,162.0,9.9,27.3,1025,,85.7,43.4,424,305.6,14.0,5.0,2418,19.0
Mátramindszent,589,91.0,11.4,30.2,1359,,67.9,47.9,425,401.0,34.0,9.0,3194,16.2
Bátonyterenye,516,86.0,12.6,29.2,1480,0.3,100.0,52.3,472,407.0,112.0,0.0,3133,27.0
Mátranovák,656,68.0,13.2,31.5,1661,0.4,71.0,47.2,482,381.5,32.0,1.0,3449,56.4
Szuha,582,82.0,5.2,29.7,1842,,71.5,52.9,496,404.6,30.0,20.0,3712,12.2
Nemti,579,67.0,12.5,27.3,1644,,89.8,56.2,461,435.7,27.0,11.0,3563,25.6
Dorogháza,542,38.0,9.4,31.2,1385,0.4,72.3,53.5,447,358.5,25.0,9.0,3098,18.1
Szabadkígyós,462,58.0,7.8,30.6,1524,,96.8,57.2,508,398.9,129.0,2.0,3001,29.4
Kétsoprony,471,88.0,7.2,28.8,1630,0.8,63.1,56.7,594,417.7,285.0,3.0,2744,13.5
Telekgerendás,496,90.0,9.6,32.8,1692,,89.6,55.4,555,479.0,172.0,2.0,3047,38.5
Doboz,480,76.0,11.9,30.8,1218,,99.4,45.5,493,356.3,338.0,2.0,2471,10.0
Csorvás,524,127.0,9.4,31.0,1539,0.2,94.7,54.9,519,357.5,297.0,1.0,2965,11.3
Csabaszabadi,753,179.0,12.5,26.9,1449,,66.1,54.0,571,565.0,77.0,15.0,2536,33.3
Gerendás,613,72.0,8.8,32.7,1235,,71.6,52.9,490,393.0,192.0,3.0,2520,17.9
Újkígyós,458,109.0,10.2,30.7,1374,0.4,96.4,52.7,496,388.3,325.0,1.0,2769,13.0
Békéscsaba,516,192.0,7.9,29.5,1828,1.7,94.5,56.9,515,423.6,932.0,0.0,3546,29.2
Murony,503,46.0,12.0,30.6,1443,,87.3,51.0,529,442.6,121.0,3.0,2728,37.8
Békés,470,112.0,11.4,31.2,1389,0.4,96.2,49.1,495,392.2,438.0,0.0,2809,15.5
Kamut,532,51.0,7.6,33.8,1356,,84.4,50.4,557,503.1,227.0,4.0,2434,28.6
Köröstarcsa,542,77.0,9.1,28.8,1346,,99.9,52.5,536,399.2,232.0,2.0,2510,13.0
Bélmegyer,634,84.0,9.3,33.6,1433,,90.4,50.4,573,428.1,99.0,4.0,2499,17.3
Tarhos,480,54.0,8.2,26.1,1364,,93.0,54.7,522,415.3,112.0,6.0,2611,26.1
Mezőberény,471,99.0,9.1,30.1,1418,0.8,97.1,50.1,492,356.3,331.0,0.0,2881,15.9
Bükkszentmárton,487,76.0,14.4,31.9,892,,75.8,34.4,416,315.6,8.0,45.0,2144,13.6
Balaton,454,51.0,14.6,28.2,1431,,88.4,48.7,461,361.8,19.0,9.0,3104,4.7
Mikófalva,470,44.0,10.7,26.6,1502,0.9,90.1,52.8,494,422.1,16.0,16.0,3043,18.8
Bélapátfalva,402,72.0,9.7,33.8,1464,0.4,95.2,52.8,498,342.9,26.0,1.0,2938,33.0
Mónosbél,336,23.0,8.5,19.5,1357,,93.2,52.4,483,259.8,10.0,13.0,2810,56.6
Bekölce,589,52.0,15.5,29.8,1130,,79.0,46.3,452,299.7,19.0,18.0,2500,8.9
Szilvásvárad,495,195.0,10.6,29.7,1694,0.7,86.5,52.1,520,456.2,31.0,2.0,3256,31.9
Nagyvisnyó,582,68.0,7.4,34.9,1425,,84.9,53.7,501,393.8,31.0,9.0,2848,8.5
Bedő,418,,6.2,17.2,850,19.5,95.0,60.9,273,252.2,32.0,16.0,3109,14.3
Berekböszörmény,432,119.0,8.7,20.7,718,15.0,84.3,35.5,366,311.4,213.0,3.0,1962,8.1
Körösszegapáti,542,77.0,13.4,21.0,1049,16.1,86.2,44.8,431,350.9,98.0,5.0,2433,12.2
Nagykereki,375,52.0,4.6,17.5,712,32.9,74.8,39.1,365,216.8,84.0,5.0,1952,14.9
Csökmő,511,112.0,11.4,23.4,1304,,91.1,50.5,497,324.1,142.0,3.0,2623,7.5
Váncsod,476,99.0,10.0,23.2,944,14.6,93.0,47.2,416,282.6,104.0,4.0,2267,8.8
Bojt,365,71.0,17.3,12.5,477,9.7,76.6,20.2,347,194.3,51.0,18.0,1376,37.5
Darvas,637,136.0,12.3,28.6,1525,1.1,96.1,50.9,525,403.6,33.0,9.0,2906,17.0
Ártánd,416,50.0,9.5,17.9,681,26.8,88.4,49.4,266,237.1,39.0,4.0,2565,64.6
Zsáka,483,100.0,18.6,22.9,1143,1.1,88.6,41.0,474,320.7,107.0,3.0,2410,19.5
Berettyóújfalu,455,175.0,8.9,27.5,1648,1.7,87.5,54.1,498,388.6,517.0,0.0,3309,23.4
Furta,513,79.0,13.1,24.2,1135,4.5,95.4,43.5,471,324.3,71.0,5.0,2407,23.3
Szentpéterszeg,429,54.0,11.9,25.3,1289,2.9,99.2,46.4,478,323.1,73.0,6.0,2695,17.3
Körösszakál,499,127.0,10.6,19.4,877,,85.1,40.1,480,271.4,79.0,6.0,1828,15.6
Hencida,412,76.0,9.3,17.3,650,3.8,82.3,33.8,368,227.5,86.0,4.0,1767,25.7
Gáborján,436,69.0,14.0,17.8,820,,87.8,37.8,428,253.5,91.0,7.0,1916,14.4
Bakonszeg,497,78.0,12.2,25.4,1359,2.1,100.0,49.3,546,397.1,107.0,4.0,2490,17.6
Mezőpeterd,443,51.0,15.1,19.2,853,14.0,94.2,49.4,367,309.9,59.0,8.0,2321,40.2
Komádi,502,140.0,10.5,26.2,1216,0.6,84.1,46.7,495,328.9,329.0,1.0,2459,7.7
Mezősas,528,71.0,13.3,24.4,968,1.3,82.8,44.7,425,351.6,54.0,9.0,2279,8.0
Told,459,,28.3,17.7,505,31.3,55.4,22.5,378,180.2,18.0,29.0,1334,25.7
Újiráz,587,65.0,7.1,35.7,1131,,92.7,45.7,492,344.1,38.0,10.0,2299,6.1
Biharkeresztes,372,109.0,10.5,21.7,1068,26.3,97.6,49.2,369,310.3,141.0,1.0,2898,30.8
Vekerd,870,93.0,32.4,36.1,881,,75.5,22.1,482,463.0,9.0,77.0,1826,23.1
Magyarhomorog,589,54.0,15.6,28.7,1223,,81.3,46.7,520,362.4,166.0,4.0,2351,22.9
Alcsútdoboz,393,67.0,9.0,23.9,1849,,96.1,54.8,510,423.9,40.0,5.0,3624,37.5
Vértesacsa,408,40.0,9.9,21.1,1791,0.2,100.4,57.1,499,391.6,38.0,5.0,3590,12.6
Tabajd,386,52.0,8.7,21.5,1729,0.7,100.3,61.1,506,439.6,63.0,8.0,3418,27.3
Szár,346,51.0,6.1,21.8,2411,,99.8,61.5,548,394.6,30.0,5.0,4397,11.7
Bodmér,424,,8.1,28.0,1717,,99.1,60.0,539,575.9,21.0,27.0,3187,29.7
Óbarok,386,60.0,12.1,21.2,1805,,100.0,54.6,545,396.4,15.0,18.0,3314,39.3
Vértesboglár,406,67.0,7.5,24.3,2121,,100.0,64.2,542,486.6,26.0,9.0,3912,20.9
Csákvár,360,96.0,8.1,22.2,2070,0.4,100.4,62.2,548,416.4,135.0,1.0,3774,14.1
Bicske,373,141.0,9.9,24.9,1989,0.3,100.5,57.4,481,471.9,185.0,0.0,4134,39.4
Mány,356,49.0,9.4,20.2,1924,,101.0,56.2,518,427.6,80.0,4.0,3714,15.4
Csabdi,355,15.0,8.4,20.9,2032,,100.7,60.7,528,434.7,55.0,9.0,3846,17.4
Gánt,327,48.0,4.8,19.4,1649,1.8,100.4,48.3,416,338.2,11.0,3.0,3966,55.5
Etyek,376,77.0,8.0,19.6,2321,0.3,101.3,63.0,532,449.9,120.0,2.0,4364,13.4
Felcsút,387,79.0,7.5,19.5,2472,,100.5,60.3,571,1293.5,39.0,3.0,4332,37.3
Újbarok,389,21.0,6.8,21.1,2322,0.7,88.6,60.4,547,553.7,6.0,32.0,4245,19.4
Belvárdgyula,462,82.0,13.3,25.7,1322,,87.6,45.7,455,357.9,13.0,10.0,2907,59.2
Máriakéménd,398,19.0,7.3,22.2,1187,0.7,98.6,52.3,456,325.2,26.0,29.0,2603,23.5
Liptód,714,54.0,19.5,27.0,675,,97.7,42.1,300,400.0,18.0,,2247,
Pócsa,492,,7.9,29.5,1127,,93.8,59.8,494,447.0,11.0,50.0,2282,20.0
Szederkény,374,63.0,6.6,27.2,1510,0.3,99.4,63.6,467,409.4,119.0,2.0,3234,43.5
Olasz,400,65.0,7.5,28.8,1444,,99.6,59.9,483,447.3,11.0,5.0,2990,45.7
Kisbudmér,471,115.0,25.0,25.3,779,,100.0,42.0,455,448.3,7.0,,1711,
Hásságy,507,36.0,3.4,32.0,1989,,98.6,68.6,529,525.2,15.0,34.0,3760,48.3
Monyoród,520,,18.0,18.3,873,3.8,98.9,46.0,420,382.9,17.0,38.0,2079,30.8
Babarc,434,55.0,11.3,27.0,1185,1.1,97.8,53.5,428,381.5,32.0,11.0,2765,23.0
Töttös,475,55.0,12.4,22.8,977,13.5,91.1,45.7,427,390.4,25.0,11.0,2288,11.5
Nagybudmér,546,66.0,9.9,24.3,1259,,85.5,49.3,506,375.0,12.0,56.0,2489,11.1
Szajk,434,91.0,6.0,25.3,1952,0.5,97.9,59.4,512,462.4,52.0,3.0,3809,57.1
Bóly,401,141.0,5.1,28.4,1898,0.9,99.9,56.4,480,466.6,55.0,0.0,3957,53.5
Borjád,404,26.0,7.6,20.6,1244,,100.0,66.5,446,517.2,20.0,7.0,2787,40.3
Versend,326,33.0,30.9,18.2,614,,95.6,28.5,362,285.9,50.0,12.0,1698,30.1
Zomba,442,114.0,6.3,30.2,1703,0.8,92.4,56.9,527,477.2,115.0,2.0,3234,28.2
Kisdorog,440,46.0,5.9,34.2,1476,0.5,96.2,56.0,453,371.2,35.0,10.0,3254,17.8
Mórágy,418,58.0,11.8,28.9,1221,,99.3,44.8,391,348.0,35.0,10.0,3124,21.9
Kéty,394,45.0,6.2,25.6,1532,,96.6,55.4,488,442.8,41.0,13.0,3142,44.0
Nagyvejke,600,286.0,5.0,35.0,1013,,98.8,52.9,418,435.7,14.0,45.0,2423,4.5
Bátaapáti,401,28.0,7.2,26.7,1523,2.1,88.7,60.2,492,437.5,18.0,5.0,3094,42.2
Murga,907,,8.7,35.2,1555,,91.8,60.9,509,388.9,11.0,67.0,3054,6.7
Bonyhádvarasd,389,98.0,3.0,37.4,1155,,99.4,54.3,433,357.0,28.0,26.0,2669,13.2
Aparhant,414,108.0,5.3,32.7,1273,1.4,99.0,50.5,489,452.7,57.0,6.0,2600,19.3
Lengyel,483,61.0,3.3,34.7,999,1.3,100.0,44.9,433,404.0,43.0,7.0,2308,23.0
